      1 1372.2   0.729       1       78.0 Puzzle 1
      1  102.1   9.796       1       46.0 Puzzle 349
      1   24.1  41.523       1        2.0 Puzzle 350
      1   27.2  36.753       1        0.0 Puzzle 351
      1   82.2  12.170       1       40.0 Puzzle 352
      1   25.0  39.933       1        1.0 Puzzle 353
      1   45.7  21.898       1        8.0 Puzzle 354
      1   34.3  29.161       1        1.0 Puzzle 355
      1   70.1  14.260       1       17.0 Puzzle 356
      1   33.4  29.963       1        1.0 Puzzle 357
      1   23.0  43.478       1        1.0 Puzzle 358
      1   39.5  25.343       1        0.0 Puzzle 359
      1   65.5  15.277       1       12.0 Puzzle 360
      1   39.9  25.052       1        2.0 Puzzle 361
      1   21.6  46.243       1        2.0 Puzzle 362
      1   40.0  24.974       1        5.0 Puzzle 363
      1   27.5  36.308       1        0.0 Puzzle 364
      1   65.7  15.219       1       40.0 Puzzle 365
      1   21.8  45.888       1        1.0 Puzzle 366
      1   37.4  26.756       1        3.0 Puzzle 367
      1   58.9  16.973       1       39.0 Puzzle 368
      1   31.3  31.914       1        1.0 Puzzle 369
      1   35.5  28.169       1        5.0 Puzzle 370
      1   23.5  42.629       1        5.0 Puzzle 371
      1   38.1  26.258       1        9.0 Puzzle 372
      1   27.9  35.874       1        0.0 Puzzle 373
      1   17.3  57.830       1        0.0 Puzzle 374
      1   28.0  35.714       1        4.0 Puzzle 375
      1   16.8  59.701       1        0.0 Puzzle 376
      1   33.0  30.303       1        1.0 Puzzle 377
      1   30.6  32.698       1        2.0 Puzzle 378
      1   21.6  46.243       1        1.0 Puzzle 379
      1   40.7  24.591       1        6.0 Puzzle 380
      1  193.1   5.178       1      283.0 Puzzle 381
      1   35.3  28.369       1        5.0 Puzzle 382
      1   45.9  21.798       1       21.0 Puzzle 383
      1   37.4  26.756       1        0.0 Puzzle 384
      1   41.5  24.121       1        7.0 Puzzle 385
      1  110.2   9.077       1       87.0 Puzzle 386
      1   30.6  32.653       1        1.0 Puzzle 387
      1   51.0  19.592       1       11.0 Puzzle 388
      1   51.6  19.370       1        4.0 Puzzle 389
      1   32.5  30.809       1        0.0 Puzzle 390
      1   48.9  20.460       1        4.0 Puzzle 391
      1   37.4  26.756       1        4.0 Puzzle 392
      1   28.4  35.190       1        1.0 Puzzle 393
      1   18.4  54.422       1        0.0 Puzzle 394
      1   19.8  50.633       1        1.0 Puzzle 395
      1   14.8  67.797       1        0.0 Puzzle 396
      1   28.6  34.934       1        0.0 Puzzle 397
      1   18.2  54.921       1        0.0 Puzzle 398
      1   24.9  40.133       1        0.0 Puzzle 399
      1   46.3  21.583       1        6.0 Puzzle 400
      1   34.7  28.846       1        1.0 Puzzle 401
      1   49.1  20.356       1        6.0 Puzzle 402
      1   27.3  36.642       1        0.0 Puzzle 403
      1   63.3  15.790       1       31.0 Puzzle 404
      1   31.6  31.621       1        2.0 Puzzle 405
      1   28.6  34.986       1        0.0 Puzzle 406
      1   31.4  31.873       1        5.0 Puzzle 407
      1   39.9  25.078       1       15.0 Puzzle 408
      1   36.3  27.523       1        3.0 Puzzle 409
      1   42.5  23.553       1        8.0 Puzzle 410
      1   25.3  39.604       1        4.0 Puzzle 411
      1   38.0  26.344       1        6.0 Puzzle 412
      1   33.7  29.666       1        3.0 Puzzle 413
      1   45.8  21.858       1       15.0 Puzzle 414
      1   33.5  29.851       1       16.0 Puzzle 415
      1   60.9  16.416       1       42.0 Puzzle 416
      1   30.0  33.333       1        0.0 Puzzle 417
      1   38.8  25.779       1        8.0 Puzzle 418
      1   50.8  19.704       1       15.0 Puzzle 419
      1   30.8  32.520       1        1.0 Puzzle 420
      1   64.6  15.484       1       32.0 Puzzle 421
      1   36.8  27.211       1       10.0 Puzzle 422
      1   46.7  21.429       1       20.0 Puzzle 423
      1   28.6  34.934       1        0.0 Puzzle 424
      1   20.1  49.689       1        0.0 Puzzle 425
      1   38.0  26.316       1        4.0 Puzzle 426
      1   37.8  26.461       1        4.0 Puzzle 427
      1   27.5  36.310       1        0.0 Puzzle 428
      1   40.1  24.922       1        8.0 Puzzle 429
      1   53.2  18.794       1        9.0 Puzzle 430
      1   33.2  30.151       1        3.0 Puzzle 431
      1   33.7  29.667       1        5.0 Puzzle 432
      1   33.2  30.113       1        4.0 Puzzle 433
      1   30.0  33.287       1        1.0 Puzzle 434
      1   44.9  22.264       1       11.0 Puzzle 435
      1   55.5  18.004       1       22.0 Puzzle 436
      1   33.0  30.303       1       14.0 Puzzle 437
      1   47.3  21.127       1        7.0 Puzzle 438
      1   29.5  33.947       1        1.0 Puzzle 439
      1   43.3  23.121       1       12.0 Puzzle 440
      1   35.3  28.336       1        1.0 Puzzle 441
      1   23.8  41.959       1        1.0 Puzzle 442
      1   38.1  26.258       1        7.0 Puzzle 443
      1   49.5  20.219       1        6.0 Puzzle 444
      1   25.5  39.279       1        0.0 Puzzle 445
      1   34.4  29.091       1        1.0 Puzzle 446
      1  114.6   8.724       1       74.0 Puzzle 447
      1   43.5  23.011       1       16.0 Puzzle 448
      1   84.3  11.869       1       48.0 Puzzle 449
      1   25.6  39.024       1        2.0 Puzzle 450
      1   27.9  35.820       1        2.0 Puzzle 451
      1   23.9  41.811       1        6.0 Puzzle 452
      1   16.0  62.500       1        1.0 Puzzle 453
      1   28.0  35.768       1        0.0 Puzzle 454
      1   39.1  25.586       1       10.0 Puzzle 455
      1   25.9  38.647       1        0.0 Puzzle 456
      1   41.8  23.905       1        8.0 Puzzle 457
      1   31.3  32.000       1        6.0 Puzzle 458
      1   48.7  20.531       1       36.0 Puzzle 459
      1   29.0  34.433       1        1.0 Puzzle 460
      1   32.0  31.291       1        4.0 Puzzle 461
      1   27.9  35.822       1        0.0 Puzzle 462
      1   24.8  40.337       1        1.0 Puzzle 463
      1   28.2  35.503       1        2.0 Puzzle 464
      1   39.0  25.669       1        5.0 Puzzle 465
      1   34.3  29.161       1        3.0 Puzzle 466
      1   41.7  24.000       1       17.0 Puzzle 467
      1   39.8  25.131       1        5.0 Puzzle 468
      1   46.2  21.641       1       10.0 Puzzle 469
      1   55.4  18.045       1       27.0 Puzzle 470
      1   41.3  24.218       1        7.0 Puzzle 471
      1   37.0  27.057       1        6.0 Puzzle 472
      1   26.0  38.462       1        0.0 Puzzle 473
      1   33.0  30.303       1        2.0 Puzzle 474
      1   46.0  21.739       1       16.0 Puzzle 475
      1   52.5  19.032       1       13.0 Puzzle 476
      1   31.2  32.043       1        3.0 Puzzle 477
      1   28.8  34.783       1        0.0 Puzzle 478
      1   57.5  17.379       1       22.0 Puzzle 479
      1   33.0  30.341       1        4.0 Puzzle 480
      1   74.1  13.491       1       27.0 Puzzle 481
      1  101.0   9.905       1       56.0 Puzzle 482
      1  113.8   8.785       1      111.0 Puzzle 483
      1   35.9  27.875       1        4.0 Puzzle 484
      1   79.6  12.565       1       55.0 Puzzle 485
      1  130.3   7.673       1      119.0 Puzzle 486
      1   81.3  12.295       1      119.0 Puzzle 487
      1   29.8  33.566       1        1.0 Puzzle 488
      1   27.8  35.982       1        2.0 Puzzle 489
      1   99.6  10.038       1       54.0 Puzzle 490
      1   97.4  10.270       1       42.0 Puzzle 491
      1   38.4  26.030       1        3.0 Puzzle 492
      1   72.8  13.746       1       35.0 Puzzle 493
      1   28.0  35.714       1        0.0 Puzzle 494
      1   19.9  50.208       1        0.0 Puzzle 495
      1   88.8  11.257       1       46.0 Puzzle 496
      1   25.5  39.280       1        0.0 Puzzle 497
      1   25.4  39.345       1        1.0 Puzzle 498
      1  106.3   9.404       1       97.0 Puzzle 499
      1   53.9  18.561       1       29.0 Puzzle 500
      1   37.3  26.786       1        7.0 Puzzle 501
      1   63.7  15.707       1       27.0 Puzzle 502
      1   31.4  31.873       1        4.0 Puzzle 503
      1   30.9  32.346       1        1.0 Puzzle 504
      1   35.2  28.403       1        8.0 Puzzle 505
      1   36.0  27.810       1        5.0 Puzzle 506
      1   27.8  35.929       1        1.0 Puzzle 507
      1   34.5  29.021       1        5.0 Puzzle 508
      1   32.0  31.250       1        3.0 Puzzle 509
      1   34.2  29.233       1        6.0 Puzzle 510
      1   24.1  41.451       1        1.0 Puzzle 511
      1   26.8  37.325       1        0.0 Puzzle 512
      1   23.1  43.243       1        0.0 Puzzle 513
      1  130.0   7.692       1       96.0 Puzzle 514
      1   28.9  34.632       1        1.0 Puzzle 515
      1   28.5  35.037       1        0.0 Puzzle 516
      1   71.3  14.035       1       33.0 Puzzle 517
      1  202.7   4.933       1      226.0 Puzzle 518
      1   78.6  12.719       1       40.0 Puzzle 519
      1   31.0  32.215       1        4.0 Puzzle 520
      1   43.2  23.166       1       11.0 Puzzle 521
      1   29.1  34.383       1        0.0 Puzzle 522
      1   38.5  25.974       1        7.0 Puzzle 523
      1   84.7  11.811       1       59.0 Puzzle 524
      1  157.7   6.342       1      120.0 Puzzle 525
      1  484.5   2.064       1      541.0 Puzzle 526
      1   57.8  17.316       1       17.0 Puzzle 527
      1   29.0  34.433       1        1.0 Puzzle 528
      1   86.4  11.577       1       36.0 Puzzle 529
      1   34.5  28.950       1        4.0 Puzzle 530
      1  230.3   4.342       1      297.0 Puzzle 531
      1   25.9  38.647       1        3.0 Puzzle 532
      1   31.8  31.455       1        2.0 Puzzle 533
      1  124.1   8.059       1       74.0 Puzzle 534
      1   50.0  20.000       1       16.0 Puzzle 535
      1   27.3  36.586       1        0.0 Puzzle 536
      1   40.2  24.896       1        5.0 Puzzle 537
      1   23.8  42.105       1        5.0 Puzzle 538
      1   40.5  24.691       1        9.0 Puzzle 539
      1   56.4  17.738       1       15.0 Puzzle 540
      1   41.8  23.928       1        8.0 Puzzle 541
      1   26.8  37.268       1        1.0 Puzzle 542
      1   28.9  34.632       1        3.0 Puzzle 543
      1   27.2  36.754       1        0.0 Puzzle 544
      1   25.9  38.647       1        0.0 Puzzle 545
      1   39.8  25.157       1        3.0 Puzzle 546
      1   30.3  32.967       1        1.0 Puzzle 547
      1   49.0  20.426       1       20.0 Puzzle 548
      1   36.6  27.335       1        8.0 Puzzle 549
      1   22.1  45.282       1        8.0 Puzzle 550
      1   25.0  40.067       1        1.0 Puzzle 551
      1   63.8  15.676       1       19.0 Puzzle 552
      1  261.6   3.822       1      257.0 Puzzle 553
      1   56.9  17.569       1       33.0 Puzzle 554
      1   65.3  15.326       1       35.0 Puzzle 555
      1   78.8  12.698       1       36.0 Puzzle 556
